,Product Name,Price,Timestamp
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:19:52.510493
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:19:52.510493
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:20:54.205154
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:20:54.205154
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:20:54.205154
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:20:54.205154
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:20:54.205154
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:20:54.205154
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:20:54.205154
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:20:54.205154
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:20:54.205154
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:20:54.205154
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:21:55.529347
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:21:55.529347
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:21:55.529347
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:21:55.529347
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:21:55.529347
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:21:55.529347
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:21:55.529347
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:21:55.529347
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:21:55.529347
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:21:55.529347
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:22:57.129164
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:22:57.129164
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:22:57.129164
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:22:57.129164
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:22:57.129164
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:22:57.129164
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:22:57.129164
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:22:57.129164
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:22:57.129164
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:22:57.129164
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:23:58.653584
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:23:58.653584
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:23:58.653584
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:23:58.653584
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:23:58.653584
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:23:58.653584
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:23:58.653584
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:23:58.653584
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:23:58.653584
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:23:58.653584
